eOthello_game_id,winner,game_moves
359706,1,f5d6c4d3e6f4e3f3g4e7c7d7c3c5c6g3f6g6g5f7h6h3h4b4f8b6b5d2a5c8b3a4a3a7b2c2e1d1a6h5h2f1a8g8e8d8g7b1g2b7a2h8h7f2a1h1c1e2g1b8
352303,-1,c4e3f6c5c3c6e6f5d6d7b5d3e7b4g5b3b6c7f7a4a5f4a3g4a2h5c2g6d2d1c8b7g7a6e8a1a8d8h6b1f8b2f2e2f3g3h4g1f1e1c1a7b8h8g8h7h1h3h2g2
345916,-1,e6f4c3c4d3d6f6f7f8f5c5g6h5h6g5c6g3h4e7g4f3e3f2d7d8e8c7f1g2e2g1e1h3h1c8h2g7h7d1b7b6c1h8g8a8a6b5d2a5b4b8a3a4a7a2b3c2b1b2a1
347101,1,f5f4e3f6d3c3c4f3e6c5b4d6c6a4g5g4d7h5b3a3f7b5g3h3h4f8h6h7g6e7c7b6e8d8c8b8g7h8g8a6a5a2b7a8b2a1b1c1c2d1a7d2e2e1f1g1f2g2h1h2
345676,1,f5d6c4d3c3f3f4b3f2f6e6g5g4f7e7e3g3g6h5h3h6f1c7h4h2e8c5d7c6b4b5a6a5b8a4a3b6a7g2e2d1e1g1g7d2b7c8a8a2b2b1a1c1h1g8h7c2h8f8d8
347012,-1,f5d6c5f4f3g4e3e6f6c4d3g5g6g3b4f2h5e2d2c3e7f7h4c7f8h3d7e1c2c6b5d8c8e8h2h7g1b3c1g7h8d1h6f1g2a5a4a6a3a2b6g8b1h1b2a7b7a1a8b8
347002,-1,d3c5d6e3f4c6f5c3c4b5b4b6e6a3c7d7c8f7e7f3a4g4h3g6g5a5g3b3f2h6h5f8e8h4h7e2d1g2d2e1c1c2h1b1a7f6a2a6b7a8g8a1f1g1b2b8d8h2h8g7
345748,1,f5d6c3d3c4f3f4g3f6g5e3e2g6c5c6d2e7b3e6b4h5b6g4d7e8c7h2f8d8c8f2f7d1h3h4f1c1c2b1h7b2h6h8g2a3a2a1e1g1a4b5h1g7g8a6a7b8b7a5a8
345533,-1,f5d6c5f4e3c6d3f6e6d7d8f3e7f7g4c4f8g5h4h3h2g3b5h6f2e2e1d2g6d1c1f1g1c3b3e8h7g7c8b8h8c7g8a8b7b6a4b4h5h1g2b1c2b2a1a2a3a6
344803,1,f5d6c3d3c4f4c5b4b3c2d7c6e6g5a4b5d2e7a5a2f6d8e3d1e2b6e1f2f1g1f3g3f7g4g6h6a6e8c8b8c7b7a7h4h5h7g7a8a3b1b2a1c1h8g8h2h3h1f8g2
344745,1,f5f6e6d6c5e3d3f4e2c4c3c2g4f3d2c6f2h4g3d1e1f1b6g2h3a6h1b5h5h2g5h6h7g6g7h8g8f8e7g1f7d8e8d7c8c1b1b2b4b3c7a4b7a5a7b8a8a2a3
344744,-1,e6f4c3c4d3d6e3c2c7e2e1f3b5c5b3d2g3b4b6f5f6c6d7f1a5d1b1f2g1c1b2a2a4a1h1g2a6a7a3e7d8h2g4h4h3h5h6a8b7b8c8e8f7h7
344802,-1,f5d6c3d3c6f4d7f6e3f2g6g5e2c5e6f3h4h6b4c2d2e1h5h3g4b3d1f1g1g3c4c1b1a5a4a3g2b5a6h1h2a1b6b2a2a7b7a8c7b8d8c8f7e8g8f8g7e7h7h8
344798,1,f5f4e3d6f3g3g4h4d3f2e6e7c5g6c3c6e2e1f6f7d7b5b4a3b6d8c7a6g5c8d2h5e8f8c4d1c2c1g1f1b1b2a1b3a2a4h3h2h7g7h8g8b8b7h6h1g2a7a8a5
344795,1,f5f4e3f6d3c5d6c3c4f2c6b4b5e7d7a5e6d8f3b3c7f7b6d2f1g3e2d1e1g1a3a4a6c2f8e8c8b7a2b2a1b1c1h1h3h2g2h4g4g5a8a7h6h5b8h7g8g7h8g6
344791,1,f5f4e3f6d3c3c4d2c2b3d1b4c5e1f1c1b1b6c6b5e2d6a3b2f3g3d7e6a1e8a6a5a2a7a4a8b7c7b8c8f2g2g1d8h1h2f8f7
344785,-1,c4e3f6e6f5c5c3c6d3d2c2f4b5d6f7e7f2e2d8g5d1g6g4f3d7g3e1f8h6c8e8h5h4b3b4h3h2c1g8h8b1h7g2h1a4g1g7f1c7b7b6a6a5a2a7b2a3a1b8a8
344780,-1,f5f6e6d6c3f4e7d7c6c5d8c7f7c8b8g8b4b5g3e8g4g5h6h5a4b6a5a7g6h7a6a8c4h4f8h3h8g7h2a3b3d2f3b7d3a2d1c2c1e3e2f1f2b2a1e1g1b1h1g2
344770,-1,c4e3f3c5d3b4c6d6d7e6f4f5e7c7f6d8a3b5b3c3a5d2e8f2f1g4h4b6a6f8f7g8c8b8c2g6h6h5e1e2g3d1g5b1c1g1b7a8g7a7g2h1h2h3a4a2h7h8a1b2
344766,1,f5f4e3d6f3g3g4h4d3f2e6e7c5g6c3c6e2b6c4d1b5d2g5h6c2a6b4f6a5a3a4c1b7a8a7b3b2b1h3h2h5g2e1f1h1g7g8h8f8h7f7d8e8g1c8d7c7b8a1a2
344763,1,f5d6c5f4e3d3f3b6c3g6c4e2d2g3g4h3e6d1c2g5f6b5c1f2c7d8b4a4a3d7c6a2b3b1e8f8c8b8e7f7e1f1a5a6h5h6h7h4h2b2g2g7h8g1h1g8a8b7a7a1
344758,-1,e6f4g3d6c6f6g6f7f8g4g5c7e3c5b8d7b6b5c8f5d3f3c4e7e8c3b3h5h6d8h4a8a6a7a5b7b4a4f2d2c2a3e1e2g7c1g8b2a1a2b1f1g1g2h1h2d1h3h7
344750,1,f5f6e6d6c5b4e7g5c4e8b5e3f4f3d7c8f7f8g4h5h3c7c6d3h6h7g6g3d2a5c2b3f2b6c3e2a3d1a4a2c1b1e1f1h2g7h4h1h8g2g1d8g8b8b7a1b2a8a7a6
344739,-1,e6f4g3d6c5c6e7c4b6c7d8c8b5d7b8a5d3f6f3f5f7c3a6a4a3f8b4e3f2e2b3d2f1e1d1h3g4g2h4h5g5h2g1h1e8a8h6g6g8g7c1c2b2a1h7b7h8a7a2b1
41229,-1,d3e3f4c3c4d6c6c5b4f3e2d2c1f2d7f5b5b6g4e6c7f6g5d1b3e1f1c2b1a4a3a6a5a2g6a7b2c8b8a8b7e8d8a1f8e7f7g1g2g8h1g3h2h4h5h6h3h7g7h8
41228,1,f5f6e6f4c3c5c4c6d6c7d7e3d3b4b6d8b5a4a6a5a3e7c8b8a7e2b3a2a1c2b2b7d1c1b1f1d2f3e1f2g1h1g2h2g3g4h3h5h4g5a8g6f7e8
1061635,-1,c4e3f6e6f5c5c3c6d3d2e2g6d6d7e7g5g4f4f3f8d8c8b8c7g3h3b5b4b6c2d1a4a3b3a6a2a5a7c1h2b7a8e8f2h5b1f1f7a1b2h7e1g2h1g1h4h6h8g8g7
1061551,1,f5f6e6f4g5e7f7d6d8h6c5g6g4f8h5c4f3b5d7e8g8e3g3h4h3h2c3d3c6f2a4c7b6b8g7b7c2a6d2a5b4a3e2f1d1b3c8c1a8a7a2b2a1b1e1g2h1g1h7h8
1061661,1,f5f6e6d6e7g5g6f4h4f8e3f7d7h6e8d3c6c8g8e2c7f3g4h3h5d8b8c5b4g7h8h7g3a3c4b5a5a4a2b6g2f1g1h1h2b7f2a8a7a6b3c3b2c2c1b1a1d1e1d2
1061624,1,f5d6c3d3c4f4c5b3d2c6f3e6b5e1c2d1a3e3e7b4f2e2b6a5f7g6f6g4f1a4a6g3a2g5c1d7c7e8d8f8g1c8h3b2b7g7h4a7a8b8h5h2h1g2h6h7g8h8b1a1
1053299,-1,c4e3f6b4f3f4f5g5e2c5e6d3g3g4h6h5h4f1d1e1g1f2d2e7e8h3h2g6c3d7d6c1b1c2c7f8h7d8b5f7c6b3c8a6a5a4b6g7h8g8a2a3g2a1b2h1a7b7a8b8
1036263,-1,e6f4c3e7f3e3d3f2f6d6f5g4g6e2f7g5h4h3d2g3h5c1h2d7c8c6c4e8b6f8g7c5g2c7b5h1b8a5a6a7b4d8d1e1a4a3b2b3g8h6f1g1c2h8a2a1b1a8b7h7
1009823,-1,f5d6c3d3c4f4c5b3c2e3d2b6b4a4c6e6b5a5d7f7f2f3f6e7a6a7f8e1a2f1b2d8g4c7g3g6e8g5h6d1e2h5h4h2h3h7g2g8b8h1g1c1a3a1b1c8h8g7b7a8
979071,-1,d3c5d6e7b5b4b6c3e6e3a3c4c2a4a5a6a7c6d7d8f8c7e8g8c8b8d2d1f4f5g5g6f2f3e1f1e2h6f7f6g7b2a1a2g3b3b1c1h4h5g2g4g1h8h7h3a8b7h2h1
977399,1,f5d6c3d3c4f4c5b3d2c6f3e6b5f6e3b4b6a6c2a4a3c1a5a2e7e1c7e2f1d7c8f7g5f8e8g4d1g1h3g6g3f2b2h5b7a1g2h4b1d8g8b8a8a7h1h2h6h7g7h8
942492,1,f5f6e6f4g5d6d7e7f3g3e3g4c6c4h4h3h5h6c5g6g7b5c7d8e8c8b4c3a5a6b3f2d3b6a4e2f7c2f1h8d2c1d1b2a7b1h7b7b8g8a3g1a8f8h1e1a1a2h2g2
918791,1,f5d6c3d3c4f4c5b3d2e3c2f6f2f3e2f1b4c1e1b1g1a4g4h4b5e6c6a6d7e7b6b2e8c7g3a5h3f8g8f7h5d1a1d8c8g6g7b7a2a3b8g5h6a8a7h8h7g2h1h2
918852,-1,f5d6c3d3c4f4c5b3d2c6f3e6b5b4b6e3c2a5e2a6a3d1c1b1a4a2f6e1f2g5g4h4b7f1g6a8h3h6d7e7h5g3d8f7h7f8e8c8c7g7a7h8h2g8g2h1g1b8a1b2
918762,1,f5d6c3d3c4f4c5b4c6e6a3b3d2d1e3c2c1a4a5b1f3b5f6f7e7e1a2g4h4d7d8f8a6e2b6g3c8h5g2f2f1g6g5b7b2e8c7b8a1h2h3g7h1h6h7g1h8g8a8a7
918583,1,f5f6e6f4g5d6d7e7f3g6g4f7f8h5h4h3g3d8c3d3e3d2h7g2c6c5h1e2c4f2g1e1c8c7e8b3d1f1c2b6a6b5a5b4c1b2a1b1a2a3a4h6h2g8h8g7b8a7b7a8
918621,1,f5d6c4g5c6c3d3d2e2f4b3b4c2e3c5b5a5e1a4d1e7d7e6a3a2a6a7b6d8c7c8f6f7b7h5g6h6c1b2e8f8h7h8a1a8b8g4f3g2g8g7h3g3f1h1h4h2g1b1f2
918705,1,f5d6c3d3c4f4c5b3d2c6f3e6b5b4b6f6e3g5c2e2f1a4a3a6f2e1a5a2h6h4g6c1f7e7e8g4d1g1h5h7c7d7d8c8b8g8h3g3g2h1h2f8h8b7a8a7a1b1b2g7
918546,1,f5f6e6f4g5c6f3g4e3d6h4g3h3h6g6e2f7f2e1h5h7e7d8g1d7f8c5c7c3c4d2d3c2b3f1g2d1c1c8h2h1g7e8b8b1b2b6b4a1a2a3a4a5a6b5g8a7b7a8h8
918664,1,f5d6c3d3c4f4c5b3d2c6f3e6b5b4b6a6c2c1a5a4f7f6e7d1e3e2g5g4h3h4h5d7f2g1c8h6h7e8d8b8c7g3h2g6f8g8a2b7e1g7a8f1a7a3g2a1b1h1b2h8
904620,1,f5d6c3f4f6c4e3f3d3e2c6d2e6c2g4h4e1f2d1c1b1c5h3h5h6c7g5g3d7d8b4b5e7e8b6a5a6a4b3a7f7a3f8b7c8g6h7g8a8b8a2g7h8b2h2g2h1g1f1a1
904873,1,f5d6c3d3c4f4c5b3d2c6f3e6b5b4b6e3c2a4e2c1a3d1e1f1f2g6a5a6f6a2h6g1b2g5d7d8f7e7e8g3c8g8h5h4g4g2f8h3h8h7g7c7b8b7h2h1a7a8b1a1
778580,1,f5f6e6d6e7g5c5c7c6d7c4d8c8b4f4c3d3d2e8g3g4f7f8h3g6f3h5b6h4h6e3f2e2f1b7g8h8a8h7b8g7g2h2b5a6h1g1e1d1a7c2b3a2b2a1b1c1a3a4a5
692888,0,e6f4c3d6f6c4c6c2g3g4g5h2f3e3d3e2d2h5f1f5b5f7b4e7h4h3c1b6g7c5h6f2h1a5c7a3a6d8b7g6g1a8a4e1h7a7g2d1e8f8g8h8d7b3a2b2a1b1c8b8
674986,-1,e6f4d3e7f6d6c6c4c3f7c5f5e3b5b4f3b6e2f2f1g4g3g5h5d7c8g6c7f8h6d8b7h4h3e8g8a8d2c2b3d1e1g1b1g2a3a4c1a1a2b2h7g7h8b8a7a6h2h1a5
659524,-1,f5d6c3f4f6g5e6g6c5d3e3f3g4h3g3f2h5e2d2b5b6b4h4h6d1c4e1h2f7c2e7d7g7c1c6c7a4a6a5a3b1d8b3g1c8h8h7e8h1f1g2g8a7a8b7a2b2a1f8b8
634391,-1,e6f4e3d2d3c3e2f1e1d1c4f2b3b5b4f3c2a3g4c1a6h5g2g3h4g5h6f5h2a4h3g6f6d6c5c6c7c8b6a5a2h1g1b2a7h7g7e7d7h8e8d8f8b7a8b8b1g8f7a1
634394,1,f5d6c3d3c4f4c5b4c6e6a3b5e3a4b6c7a5d2d7b3e7g6d8f6h6f7e8g8g5b8c8f8g3h4h5h7e2c2f3g4e1d1c1h3g2f2f1a6a7b2g1h1h2b1h8b7a8g7a2a1
